Symbol,profitMargins,revenueGrowth,returnOnEquity,Sector,Industry
STE,12.788,6.1,10.859,Healthcare,Medical Devices
SYK,9.568,10.2,10.58,Healthcare,Medical Devices
SIVB,35.38,137.7,19.908,N/A,N/A
SYF,31.631002,62.4,16.718,Financial Services,Credit Services
SNPS,20.275,18.9,17.204,Technology,Software - Infrastructure
SYY,-0.557,-13.7,-14.055,Consumer Defensive,Food Distribution
TMUS,3.954,77.8,5.718,Communication Services,Telecom Services
TROW,42.292,24.9,38.007000000000005,Financial Services,Asset Management
TTWO,17.459999,10.4,20.06,Communication Services,Electronic Gaming & Multimedia
TPR,7.029000000000001,18.7,12.234,Consumer Cyclical,Luxury Goods
TGT,6.2979996,23.4,47.313,Consumer Defensive,Discount Stores
TEL,8.2329996,17.0,11.079001,Technology,Electronic Components
TDY,13.014,2.7,13.282,Technology,Scientific & Technical Instruments
TFX,10.9840006,0.5,8.6689994,Healthcare,Medical Instruments & Supplies
TER,25.431,11.0,41.983002,Technology,Semiconductor Equipment & Materials
TSLA,3.18,73.6,7.16,Consumer Cyclical,Auto Manufacturers
TXN,40.12,41.4,71.554,Technology,Semiconductors
TXT,3.659,3.7,7.459,Industrials,Aerospace & Defense
TMO,22.076,59.0,24.912001,Healthcare,Diagnostics & Research
TJX,3.9979998,128.8,27.796,Consumer Cyclical,Apparel Retail
TSCO,7.391,42.5,52.809,Consumer Cyclical,Specialty Retail
TT,8.723,14.2,19.424999,Industrials,Building Products & Equipment
TRV,8.738,5.1,10.585,Financial Services,Insurance - Property & Casualty
TRMB,13.649,11.9,13.085,Technology,Scientific & Technical Instruments
TFC,25.295,21.0,8.165,Financial Services,Banks - Regional
TWTR,8.636000000000001,74.2,5.001,N/A,N/A
TYL,16.233998999999997,6.6000000000000005,9.764,Technology,Software - Application
TSN,4.9089998,3.8,13.904999000000002,Consumer Defensive,Farm Products
UDR,5.006,-5.7,1.6070000000000002,Real Estate,REIT - Residential
ULTA,7.005999999999999,65.2,26.934,Consumer Cyclical,Specialty Retail
USB,32.561,47.0,13.912,Financial Services,Banks - Regional
UAA,2.463,35.099999999999994,7.123,Consumer Cyclical,Apparel Manufacturing
UA,2.463,35.099999999999994,7.123,Consumer Cyclical,Apparel Manufacturing
